#bookid	if(downnum>100,if(downnum>400,2,1),0)	if(opennum>100,if(opennum>400,2,1),0)	if(averagestaytime>300,if(averagestaytime>500,2,1),0)	if(downnum > 400,1,0)
5528	0	0	0	0
5964	0	0	0	0
7382	0	0	1	0
198	0	1	0	0
4309	0	0	0	0
4380	0	0	2	0
4506	0	0	0	0
4637	0	0	0	0
7121	0	0	1	0
7640	0	0	0	0
7887	0	0	1	0
7935	0	0	0	0
4417	0	0	0	0
236	0	0	0	0
4358	0	0	0	0
4596	0	0	1	0
6084	0	1	2	0
21	0	0	0	0
204	0	0	0	0
215	0	1	0	0
4261	0	0	1	0
4274	0	1	1	0
4302	0	1	1	0
6934	0	0	1	0
144	0	1	1	0
164	0	1	1	0
4152	0	0	0	0
4492	0	0	1	0
4540	0	0	0	0
4783	0	0	2	0
7296	0	0	1	0
7361	0	0	0	0
22	0	0	0	0
141	0	0	0	0
147	0	1	2	0
4207	0	0	2	0
4642	0	0	0	0
4790	0	0	0	0
5503	0	0	2	0
6453	0	0	0	0
7217	0	0	0	0
7307	0	0	0	0
7325	0	0	0	0
7358	0	0	0	0
7447	0	0	0	0
4127	0	0	0	0
4295	0	0	0	0
51	0	1	2	0
3964	0	0	1	0
4396	0	0	1	0
4448	0	1	0	0
4617	0	0	0	0
5396	0	0	1	0
6307	0	0	0	0
6886	0	0	0	0
118	0	0	2	0
195	0	0	2	0
8094	0	0	2	0
96	0	0	2	0
237	0	1	2	0
254	0	0	0	0
4308	0	0	1	0
4457	0	1	0	0
5398	0	0	0	0
6147	0	0	0	0
143	0	1	2	0
220	0	0	0	0
251	0	1	0	0
4351	0	0	1	0
4400	0	1	0	0
4460	0	0	0	0
7259	0	1	0	0
7688	0	0	0	0
4610	0	0	2	0
4370	0	0	0	0
4453	0	0	0	0
4533	0	0	1	0
5155	0	0	0	0
7609	0	0	0	0
7663	0	0	1	0
7847	0	0	0	0
8026	0	0	1	0
111	0	1	0	0
217	0	0	0	0
4335	0	0	0	0
4508	0	0	1	0
4980	0	0	1	0
5071	0	0	0	0
5193	0	0	2	0
5194	0	0	0	0
5400	0	0	0	0
5416	0	0	1	0
5853	0	0	2	0
6080	0	1	0	0
7963	0	0	2	0
209	0	1	0	0
226	0	0	2	0
4166	0	0	1	0
4428	0	0	2	0
4788	0	0	0	0
4893	0	0	0	0
5113	0	0	1	0
5563	0	1	0	0
6064	0	0	0	0
6172	0	0	0	0
7621	0	0	0	0
113	0	1	2	0
4840	0	0	2	0
199	0	0	0	0
4135	0	1	2	0
4199	0	0	2	0
4251	0	0	2	0
4684	0	0	2	0
4860	0	0	0	0
7480	0	0	2	0
7595	0	0	0	0
7645	0	0	0	0
7691	0	0	0	0
7776	0	0	0	0
2599	0	0	2	0
2606	0	0	0	0
4181	0	0	2	0
4183	0	0	1	0
165	0	1	0	0
239	0	1	0	0
4297	0	0	2	0
4455	0	1	2	0
4465	0	0	0	0
4541	0	0	1	0
4764	0	0	2	0
4998	0	0	0	0
5069	0	0	1	0
5525	0	0	0	0
6120	0	0	0	0
4218	0	0	2	0
4225	0	0	0	0
4281	0	0	0	0
4500	0	0	0	0
5068	0	0	0	0
5977	0	0	2	0
5990	0	0	1	0
7283	0	0	1	0
75	0	0	2	0
166	0	1	0	0
2596	0	0	0	0
4321	0	0	2	0
216	0	0	2	0
4205	0	0	1	0
4277	0	0	0	0
4450	0	0	0	0
4459	0	0	0	0
4586	0	0	2	0
4746	0	0	0	0
4829	0	0	2	0
4882	0	0	1	0
5045	0	0	0	0
5425	0	0	1	0
6986	0	0	0	0
7320	0	0	2	0
7784	0	0	1	0
2598	0	0	1	0
4285	0	0	0	0
242	0	0	0	0
4420	0	0	0	0
4499	0	0	2	0
4753	0	0	1	0
5111	0	0	2	0
5175	0	0	1	0
5226	0	0	0	0
5467	0	0	0	0
7604	0	0	2	0
252	0	0	0	0
4157	0	0	0	0
4253	0	0	0	0
4476	0	0	1	0
4497	0	0	0	0
4525	0	0	1	0
4970	0	0	0	0
5087	0	0	1	0
5907	0	0	2	0
7381	0	0	0	0
7492	0	0	0	0
7575	0	0	0	0
15	0	0	0	0
43	0	0	2	0
2601	0	0	1	0
4170	0	0	0	0
4514	0	1	0	0
4669	0	0	1	0
4779	0	0	0	0
4832	0	0	1	0
4909	0	0	1	0
5394	0	0	0	0
5578	0	0	2	0
5677	0	0	0	0
7049	0	0	1	0
7088	0	0	0	0
7207	0	0	0	0
7267	0	0	1	0
7273	0	0	0	0
7286	0	0	2	0
7359	0	0	0	0
7467	0	0	2	0
7787	0	0	2	0
8000	0	0	0	0
16	0	0	1	0
119	0	0	2	0
2595	0	0	1	0
4192	0	0	1	0
4209	0	0	1	0
4237	0	0	0	0
4549	0	0	0	0
160	0	1	0	0
208	0	0	0	0
227	0	0	0	0
231	0	0	1	0
4333	0	0	1	0
4616	0	0	0	0
4895	0	0	2	0
5732	0	0	0	0
6331	0	0	0	0
6473	0	0	0	0
7357	0	0	0	0
7367	0	0	0	0
7594	0	0	0	0
7	0	0	2	0
20	0	0	0	0
114	0	0	0	0
2597	0	0	1	0
4526	0	0	1	0
149	0	1	0	0
223	0	1	0	0
4159	0	0	0	0
4378	0	0	0	0
4429	0	0	2	0
4433	0	0	0	0
4482	0	0	1	0
4518	0	0	1	0
4572	0	0	0	0
4838	0	0	2	0
5162	0	0	1	0
5538	0	0	1	0
5576	0	0	0	0
6066	0	0	0	0
6324	0	0	0	0
6625	0	0	0	0
7265	0	0	1	0
7882	0	0	2	0
7964	0	0	0	0
7973	0	0	0	0
8087	0	0	2	0
41	0	0	0	0
4315	0	0	0	0
4413	0	0	2	0
7455	0	0	1	0
191	0	0	1	0
192	0	0	0	0
232	0	0	0	0
238	0	0	0	0
4256	0	0	2	0
4337	0	0	1	0
4548	0	0	0	0
4568	0	0	0	0
4656	0	0	2	0
4692	0	0	2	0
4822	0	0	2	0
4828	0	0	1	0
5288	0	0	2	0
5570	0	0	2	0
6090	0	0	0	0
6970	0	0	0	0
7603	0	0	1	0
7680	0	0	0	0
7905	0	0	0	0
8047	0	0	1	0
8061	0	0	0	0
101	0	0	1	0
2604	0	0	2	0
4249	0	0	2	0
4950	0	0	1	0
224	0	0	1	0
229	0	0	0	0
4487	0	0	2	0
4502	0	0	0	0
4530	0	0	2	0
4534	0	0	2	0
4618	0	0	1	0
5355	0	0	1	0
5622	0	0	1	0
5639	0	0	1	0
6012	0	0	0	0
6143	0	0	0	0
6578	0	0	0	0
7499	0	0	0	0
7720	0	0	0	0
7937	0	0	0	0
7970	0	0	0	0
8044	0	0	1	0
74	0	0	1	0
152	0	0	2	0
2605	0	0	2	0
5960	0	0	1	0
106	0	0	0	0
145	0	0	2	0
154	0	0	0	0
193	0	0	0	0
207	0	0	2	0
249	0	0	0	0
4146	0	0	1	0
4163	0	0	1	0
4223	0	0	1	0
4283	0	0	0	0
4483	0	0	0	0
4738	0	0	1	0
4849	0	0	2	0
5085	0	0	0	0
5187	0	0	0	0
5445	0	0	0	0
5470	0	0	1	0
5734	0	0	2	0
5745	0	0	0	0
5792	0	0	2	0
5824	0	0	2	0
6037	0	0	2	0
6049	0	0	0	0
6488	0	0	0	0
6584	0	0	0	0
6630	0	0	0	0
7330	0	0	0	0
7410	0	0	2	0
7418	0	0	0	0
7545	0	0	2	0
18	0	0	0	0
4140	0	0	0	0
4435	0	0	0	0
4935	0	0	1	0
5847	0	0	0	0
210	0	0	0	0
4173	0	0	2	0
4299	0	0	0	0
4422	0	0	1	0
4520	0	0	1	0
4556	0	0	1	0
4600	0	0	0	0
4624	0	0	1	0
4663	0	0	0	0
4737	0	0	0	0
4827	0	0	2	0
4834	0	0	0	0
4853	0	0	0	0
4978	0	0	1	0
5038	0	0	2	0
5440	0	0	2	0
5670	0	0	2	0
5956	0	0	0	0
6349	0	0	1	0
6512	0	0	2	0
6784	0	0	1	0
6906	0	0	0	0
7445	0	0	0	0
7451	0	0	0	0
7478	0	0	0	0
7538	0	0	0	0
7614	0	0	0	0
48	0	0	2	0
4233	0	0	2	0
4269	0	0	2	0
4512	0	0	1	0
5010	0	0	2	0
5412	0	0	2	0
5851	0	0	0	0
7632	0	0	0	0
186	0	0	0	0
202	0	0	0	0
218	0	0	0	0
4153	0	0	1	0
4172	0	0	1	0
4313	0	0	0	0
4415	0	0	0	0
4551	0	0	0	0
4591	0	0	1	0
4699	0	0	1	0
4744	0	0	0	0
4854	0	0	0	0
4886	0	0	2	0
4922	0	0	1	0
5409	0	0	1	0
5449	0	0	0	0
6364	0	0	2	0
6377	0	0	2	0
6750	0	0	0	0
7011	0	0	2	0
7187	0	0	0	0
7297	0	0	2	0
7475	0	0	1	0
17	0	0	0	0
184	0	1	0	0
211	0	0	0	0
225	0	0	1	0
235	0	0	0	0
240	0	0	0	0
4260	0	0	0	0
4374	0	0	1	0
4382	0	0	0	0
4419	0	0	0	0
4471	0	0	2	0
4484	0	0	0	0
4628	0	0	1	0
4686	0	0	2	0
4870	0	0	2	0
4946	0	0	1	0
5028	0	0	0	0
5131	0	0	0	0
5233	0	0	0	0
5473	0	0	0	0
5542	0	0	0	0
5604	0	0	0	0
6074	0	0	0	0
6316	0	0	0	0
6347	0	0	0	0
6372	0	0	0	0
7112	0	0	2	0
7294	0	0	0	0
7444	0	0	0	0
7457	0	0	2	0
7463	0	0	0	0
7560	0	0	0	0
3	0	0	2	0
46	0	0	1	0
47	0	0	1	0
84	0	0	2	0
4126	0	0	2	0
4138	0	0	0	0
4221	0	0	1	0
4357	0	0	2	0
4406	0	0	2	0
4580	0	0	1	0
4774	0	0	2	0
4794	0	0	2	0
4928	0	0	1	0
5154	0	0	1	0
5164	0	0	2	0
5168	0	0	0	0
5642	0	0	0	0
5878	0	0	0	0
5929	0	0	2	0
6054	0	0	1	0
6393	0	0	0	0
6405	0	0	1	0
6503	0	0	2	0
6602	0	0	0	0
6671	0	0	0	0
7133	0	0	0	0
7241	0	0	2	0
7266	0	0	2	0
7408	0	0	0	0
7591	0	0	1	0
7679	0	0	0	0
7684	0	0	0	0
7730	0	0	0	0
7745	0	0	1	0
7879	0	0	0	0
8054	0	0	0	0
91	0	0	2	0
98	0	0	0	0
120	0	0	1	0
4513	0	0	0	0
4696	0	0	0	0
5544	0	0	0	0
7010	0	0	0	0
7307	0	0	0	0
7511	0	0	0	0
7537	0	0	0	0
7821	0	0	0	0
187	0	0	0	0
246	0	0	0	0
4411	0	0	0	0
4542	0	0	0	0
4633	0	0	0	0
4819	0	0	0	0
5008	0	0	0	0
5032	0	0	2	0
5034	0	0	0	0
5039	0	0	0	0
5096	0	0	1	0
5146	0	0	0	0
5272	0	0	0	0
5306	0	0	2	0
5351	0	0	0	0
5549	0	0	0	0
5583	0	0	1	0
5585	0	0	0	0
5829	0	0	2	0
5831	0	0	1	0
5995	0	0	2	0
6112	0	0	1	0
6551	0	0	0	0
6711	0	0	0	0
6719	0	0	0	0
7046	0	0	1	0
7048	0	0	1	0
7102	0	0	2	0
7127	0	0	0	0
7140	0	0	0	0
7180	0	0	2	0
7199	0	0	2	0
7395	0	0	0	0
7428	0	0	2	0
7531	0	0	0	0
7835	0	0	2	0
31	0	0	0	0
49	0	0	2	0
55	0	0	1	0
87	0	0	2	0
92	0	0	2	0
122	0	0	0	0
163	0	0	1	0
2594	0	0	1	0
2600	0	0	2	0
4175	0	0	0	0
4302	0	0	2	0
4358	0	0	0	0
4361	0	0	0	0
4619	0	0	0	0
7093	0	0	0	0
185	0	0	0	0
203	0	0	0	0
4168	0	0	1	0
4177	0	0	0	0
4213	0	0	0	0
4275	0	0	0	0
4289	0	0	0	0
4451	0	0	0	0
4504	0	0	0	0
4582	0	0	0	0
4641	0	0	0	0
4646	0	0	0	0
4676	0	0	0	0
4719	0	0	0	0
4758	0	0	0	0
4878	0	0	0	0
4988	0	0	0	0
5014	0	0	0	0
5048	0	0	0	0
5232	0	0	1	0
5320	0	0	0	0
5810	0	0	0	0
6031	0	0	1	0
6181	0	0	0	0
6368	0	0	0	0
6510	0	0	0	0
6616	0	0	2	0
6947	0	0	0	0
6978	0	0	0	0
7006	0	0	0	0
7151	0	0	2	0
7182	0	0	0	0
7224	0	0	0	0
7274	0	0	2	0
7275	0	0	0	0
7345	0	0	0	0
7503	0	0	1	0
7548	0	0	0	0
7589	0	0	2	0
7616	0	0	2	0
7683	0	0	0	0
7707	0	0	0	0
7767	0	0	0	0
7883	0	0	0	0
7943	0	0	2	0
7956	0	0	0	0
39	0	0	2	0
58	0	0	1	0
94	0	0	0	0
4150	0	0	0	0
4372	0	0	0	0
4389	0	0	1	0
4495	0	0	0	0
4644	0	0	0	0
7626	0	0	2	0
4220	0	0	0	0
4265	0	0	2	0
4347	0	0	0	0
4353	0	0	2	0
4438	0	0	2	0
4446	0	0	2	0
4552	0	0	0	0
4678	0	0	0	0
4680	0	0	1	0
4701	0	0	0	0
4702	0	0	2	0
4748	0	0	2	0
4875	0	0	0	0
4880	0	0	1	0
4901	0	0	2	0
4938	0	0	2	0
5043	0	0	2	0
5098	0	0	0	0
5121	0	0	0	0
5148	0	0	2	0
5166	0	0	1	0
5181	0	0	1	0
5196	0	0	0	0
5206	0	0	2	0
5405	0	0	0	0
5523	0	0	2	0
5587	0	0	0	0
5616	0	0	0	0
5721	0	0	0	0
5866	0	0	0	0
6017	0	0	1	0
6055	0	0	0	0
6085	0	0	0	0
6443	0	0	0	0
6451	0	0	2	0
6563	0	0	0	0
6598	0	0	0	0
6608	0	0	0	0
6693	0	0	1	0
6769	0	0	1	0
6890	0	0	2	0
7030	0	0	0	0
7126	0	0	2	0
7202	0	0	0	0
7238	0	0	2	0
7300	0	0	0	0
7301	0	0	2	0
7346	0	0	0	0
7380	0	0	0	0
7471	0	0	2	0
7520	0	0	2	0
7566	0	0	2	0
7571	0	0	1	0
7652	0	0	2	0
7658	0	0	0	0
7758	0	0	0	0
7873	0	0	1	0
7918	0	0	0	0
7965	0	0	2	0
8011	0	0	1	0
44	0	0	2	0
57	0	0	2	0
76	0	0	2	0
102	0	0	2	0
112	0	0	0	0
180	0	0	0	0
4148	0	0	1	0
4279	0	0	2	0
4560	0	0	0	0
4637	0	0	0	0
4781	0	0	2	0
5997	0	0	0	0
205	0	0	0	0
221	0	0	0	0
222	0	0	0	0
233	0	0	2	0
4142	0	0	2	0
4431	0	0	0	0
4462	0	0	0	0
4524	0	0	1	0
4566	0	0	0	0
4585	0	0	0	0
4673	0	0	0	0
4682	0	0	0	0
4698	0	0	0	0
4811	0	0	0	0
4821	0	0	2	0
4824	0	0	0	0
4937	0	0	0	0
4954	0	0	0	0
4955	0	0	0	0
4958	0	0	0	0
5201	0	0	1	0
5223	0	0	2	0
5254	0	0	0	0
5406	0	0	0	0
5407	0	0	2	0
5411	0	0	0	0
5438	0	0	0	0
5451	0	0	0	0
5454	0	0	0	0
5489	0	0	0	0
5499	0	0	0	0
5598	0	0	2	0
6070	0	0	0	0
6161	0	0	0	0
6305	0	0	0	0
6434	0	0	0	0
6567	0	0	2	0
6618	0	0	2	0
6623	0	0	2	0
6632	0	0	0	0
6796	0	0	0	0
6865	0	0	0	0
6923	0	0	0	0
6953	0	0	1	0
7052	0	0	1	0
7105	0	0	0	0
7132	0	0	0	0
7148	0	0	2	0
7206	0	0	2	0
7220	0	0	1	0
7285	0	0	1	0
7489	0	0	0	0
7581	0	0	1	0
7611	0	0	1	0
7671	0	0	0	0
7774	0	0	0	0
7791	0	0	0	0
7792	0	0	0	0
7818	0	0	0	0
7848	0	0	0	0
7962	0	0	0	0
8069	0	0	1	0
70	0	0	2	0
100	0	0	1	0
109	0	0	0	0
139	0	0	2	0
153	0	0	1	0
171	0	0	1	0
4136	0	0	0	0
4235	0	0	2	0
4540	0	0	2	0
4675	0	0	2	0
4933	0	0	0	0
4966	0	0	0	0
5241	0	0	2	0
5396	0	0	1	0
5964	0	0	0	0
6084	0	0	2	0
7466	0	0	1	0
7527	0	0	0	0
7555	0	0	1	0
7783	0	0	0	0
190	0	0	2	0
243	0	0	0	0
244	0	0	0	0
4186	0	0	0	0
4331	0	0	1	0
4390	0	0	2	0
4407	0	0	2	0
4544	0	0	0	0
4576	0	0	0	0
4715	0	0	2	0
4728	0	0	0	0
4762	0	0	0	0
4785	0	0	1	0
4844	0	0	0	0
4902	0	0	0	0
4930	0	0	2	0
5135	0	0	0	0
5149	0	0	0	0
5199	0	0	0	0
5228	0	0	0	0
5268	0	0	0	0
5375	0	0	0	0
5384	0	0	0	0
5423	0	0	1	0
5429	0	0	0	0
5436	0	0	0	0
5459	0	0	0	0
5486	0	0	0	0
5568	0	0	0	0
5648	0	0	0	0
5675	0	0	2	0
5818	0	0	0	0
5898	0	0	0	0
5916	0	0	0	0
5917	0	0	2	0
5967	0	0	2	0
6001	0	0	2	0
6057	0	0	0	0
6082	0	0	2	0
6108	0	0	0	0
6232	0	0	0	0
6284	0	0	0	0
6289	0	0	0	0
6408	0	0	0	0
6413	0	0	2	0
6504	0	0	0	0
6522	0	0	0	0
6597	0	0	0	0
6634	0	0	0	0
6663	0	0	0	0
6669	0	0	0	0
6828	0	0	2	0
6913	0	0	0	0
6938	0	0	1	0
6944	0	0	0	0
6962	0	0	1	0
7385	0	0	0	0
7394	0	0	0	0
7423	0	0	0	0
7424	0	0	0	0
7506	0	0	0	0
7543	0	0	0	0
7557	0	0	0	0
7559	0	0	1	0
7563	0	0	0	0
7601	0	0	1	0
7650	0	0	0	0
7667	0	0	0	0
7698	0	0	2	0
7726	0	0	2	0
7765	0	0	0	0
7936	0	0	0	0
33	0	0	2	0
34	0	0	2	0
37	0	0	1	0
45	0	0	1	0
54	0	0	1	0
60	0	0	2	0
78	0	0	2	0
79	0	0	2	0
88	0	0	1	0
93	0	0	2	0
97	0	0	1	0
2602	0	0	0	0
4137	0	0	0	0
4254	0	0	0	0
4370	0	0	0	0
4448	0	0	0	0
4457	0	0	2	0
4491	0	0	0	0
4506	0	0	0	0
7040	0	0	0	0
7277	0	0	2	0
7291	0	0	1	0
